"x","y","Ind"
3627500,2410500,3
3630500,2410500,79
3631500,2410500,33.5
3633500,2410500,2
3634500,2410500,26.5
3635500,2410500,25
3637500,2410500,48
3638500,2410500,480.5
3639500,2410500,2094
3640500,2410500,1557
3641500,2410500,211.5
3642500,2410500,489.5
3643500,2410500,298.5
3644500,2410500,22
3645500,2410500,189
3646500,2410500,370
3647500,2410500,29.5
3650500,2410500,9
3651500,2410500,11
3652500,2410500,26
3653500,2410500,17
3656500,2410500,2
3657500,2410500,18
3658500,2410500,79.5
3659500,2410500,25
3660500,2410500,9
3661500,2410500,4
3662500,2410500,9
3663500,2410500,15
3664500,2410500,1
3665500,2410500,10
3666500,2410500,1
3667500,2410500,3
3668500,2410500,7
3669500,2410500,1
3670500,2410500,5
3671500,2410500,72
3672500,2410500,607.5
3673500,2410500,13
3674500,2410500,41
3675500,2410500,111
3677500,2410500,23
3607500,2411500,18
3608500,2411500,23
3609500,2411500,19
3610500,2411500,14.5
3611500,2411500,4
3612500,2411500,41
3613500,2411500,47
3614500,2411500,3
3615500,2411500,12
3616500,2411500,3
3617500,2411500,7
3618500,2411500,8
3620500,2411500,6
3621500,2411500,7
3622500,2411500,30
3623500,2411500,11
3624500,2411500,9
3625500,2411500,13
3627500,2411500,3
3630500,2411500,55.5
3634500,2411500,25.5
3635500,2411500,34
3637500,2411500,405.5
3638500,2411500,505
3639500,2411500,1135
3640500,2411500,871.5
3641500,2411500,1668.5
3642500,2411500,492
3643500,2411500,167
3644500,2411500,274
3645500,2411500,3.5
3646500,2411500,70.5
3647500,2411500,5
3648500,2411500,36
3650500,2411500,13
3651500,2411500,227
3652500,2411500,71
3653500,2411500,65
3655500,2411500,2
3656500,2411500,30
3657500,2411500,5
3658500,2411500,4
3659500,2411500,10
3661500,2411500,5
3662500,2411500,12
3663500,2411500,5
3665500,2411500,1
3666500,2411500,6
3667500,2411500,8
3669500,2411500,1
3670500,2411500,4
3671500,2411500,39.5
3672500,2411500,28
3673500,2411500,6
3674500,2411500,2
3675500,2411500,15
3676500,2411500,48
3677500,2411500,27
3678500,2411500,33
3679500,2411500,5
3607500,2412500,9
3608500,2412500,24
3609500,2412500,24
3610500,2412500,9
3611500,2412500,10
3612500,2412500,13
3613500,2412500,21
3614500,2412500,57
3615500,2412500,6
3616500,2412500,15
3617500,2412500,2
3618500,2412500,18
3619500,2412500,11
3620500,2412500,13
3621500,2412500,5
3622500,2412500,18
3623500,2412500,4
3625500,2412500,2
3626500,2412500,8
3627500,2412500,11
3628500,2412500,5
3629500,2412500,36
3633500,2412500,193
3634500,2412500,29
3635500,2412500,7
3637500,2412500,926.5
3638500,2412500,1123
3639500,2412500,266.5
3640500,2412500,114.5
3641500,2412500,50
3642500,2412500,269
3643500,2412500,29
3645500,2412500,9
3647500,2412500,19
3648500,2412500,34
3649500,2412500,128
3651500,2412500,6
3654500,2412500,19
3655500,2412500,30
3656500,2412500,20
3657500,2412500,1
3659500,2412500,6
3662500,2412500,4
3665500,2412500,2
3670500,2412500,4
3671500,2412500,18.5
3672500,2412500,10
3673500,2412500,2
3674500,2412500,4
3675500,2412500,8
3676500,2412500,10
3677500,2412500,5
3678500,2412500,16
3679500,2412500,25
3680500,2412500,56
3681500,2412500,2
3606500,2413500,17
3607500,2413500,24
3608500,2413500,7
3609500,2413500,102
3610500,2413500,1
3611500,2413500,25
3612500,2413500,14
3613500,2413500,25
3614500,2413500,22.5
3615500,2413500,7
3616500,2413500,12
3617500,2413500,8
3618500,2413500,2
3619500,2413500,9
3620500,2413500,39
3621500,2413500,14
3622500,2413500,4
3623500,2413500,39
3624500,2413500,87
3625500,2413500,21
3626500,2413500,31
3627500,2413500,26
3628500,2413500,76
3629500,2413500,81.5
3630500,2413500,30
3631500,2413500,49
3632500,2413500,28.5
3633500,2413500,191
3634500,2413500,192
3635500,2413500,67
3636500,2413500,52
3637500,2413500,531
3638500,2413500,36
3639500,2413500,95
3640500,2413500,21
3641500,2413500,74
3642500,2413500,101
3644500,2413500,56
3645500,2413500,17.5
3647500,2413500,21
3648500,2413500,36
3649500,2413500,108
3650500,2413500,26
3657500,2413500,4
3660500,2413500,4
3661500,2413500,8
3668500,2413500,1
3669500,2413500,13
3670500,2413500,2
3671500,2413500,19
3672500,2413500,4
3673500,2413500,32
3674500,2413500,9
3676500,2413500,4
3677500,2413500,10
3679500,2413500,8
3680500,2413500,60
3681500,2413500,67
3682500,2413500,43
3606500,2414500,12
3607500,2414500,18
3608500,2414500,120
3609500,2414500,39
3610500,2414500,5
3611500,2414500,13
3613500,2414500,24
3614500,2414500,9
3615500,2414500,4
3616500,2414500,23
3617500,2414500,21
3618500,2414500,2
3619500,2414500,7
3620500,2414500,31
3621500,2414500,34
3622500,2414500,4
3623500,2414500,30
3624500,2414500,72
3625500,2414500,49
3626500,2414500,6
3627500,2414500,357
3628500,2414500,508.5
3629500,2414500,260
3630500,2414500,96.5
3631500,2414500,26
3632500,2414500,81
3633500,2414500,96
3634500,2414500,127
3635500,2414500,32
3636500,2414500,116.5
3637500,2414500,142
3638500,2414500,4
3639500,2414500,82
3640500,2414500,24
3642500,2414500,8
3643500,2414500,27
3644500,2414500,24
3645500,2414500,27
3647500,2414500,5
3648500,2414500,10
3649500,2414500,14
3650500,2414500,38.5
3651500,2414500,18
3652500,2414500,2
3655500,2414500,1
3657500,2414500,65.5
3658500,2414500,12
3662500,2414500,8
3663500,2414500,27.5
3668500,2414500,8
3669500,2414500,26
3670500,2414500,16
3671500,2414500,10
3672500,2414500,5
3673500,2414500,3
3674500,2414500,5
3675500,2414500,29
3676500,2414500,7
3679500,2414500,2
3680500,2414500,17
3681500,2414500,64
3682500,2414500,27
3683500,2414500,37
3607500,2415500,45
3608500,2415500,36
3609500,2415500,34
3610500,2415500,46
3611500,2415500,25
3612500,2415500,7
3613500,2415500,4
3614500,2415500,2
3615500,2415500,2
3616500,2415500,10
3617500,2415500,97
3618500,2415500,10
3619500,2415500,17
3620500,2415500,36
3621500,2415500,103
3622500,2415500,28
